sku,category,description,unit,unit_price,currency,source,updated_at,tags
COT-TEST-2026-05-22-GRUA-TELESCOPICA,cotizacion,Grúa telescópica,HR,4500.00,DOP,Cotización TEST fixture.pdf,2026-05-22,TEST fixture Grúa telescópica cotizacion
COT-S25273-2026-05-19-URD-2-15KV,cotizacion,PIES ALAMBRE URD #2 - 1/3 NEUTRO CONC 15KV EPR ALURD2EPR,PL,485.04,DOP,JJ Electric S.A. Cotización S25273 / S25273 (3),2026-05-19,URD #2 15KV EPR ALURD2EPR media tension cable cotizacion sin descuento
COT-S24033-2026-05-09-CABLE-240MM2,cotizacion,ALAMBRE DE GOMA 240.0MM/1 RV-K0.6/1KV 90C ALAG240/1,PL,1150.00,DOP,JJ Electric S.A. Cotización S24033,2026-05-09,cable 240mm2 goma 90C RV-K baja tension cotizacion sin descuento
COT-S25273-2026-05-19-TUBO-IMC-3,cotizacion,TUBO IMC DE 3 X 10 TUBOIMC3,UND,3953.28,DOP,JJ Electric S.A. Cotización S25273 (3),2026-05-19,tubo IMC 3 pulgadas cotizacion sin descuento
COT-S25273-2026-05-19-COUPLING-IMC-3,cotizacion,COUPLING IMC 3 E58 COPIMC3,UND,247.17,DOP,JJ Electric S.A. Cotización S25273 (3),2026-05-19,coupling IMC 3 pulgadas cotizacion sin descuento
COT-S25273-2026-05-19-CONECTOR-HUB-3,cotizacion,CONECTOR HUB 3 E208 CONHUB3,UND,867.86,DOP,JJ Electric S.A. Cotización S25273 (3),2026-05-19,conector hub 3 pulgadas cotizacion sin descuento
COT-S25273-2026-05-19-CURVA-IMC-4,cotizacion,CURVA IMC DE 4 CURIMC4,UND,2693.37,DOP,JJ Electric S.A. Cotización S25273 (3),2026-05-19,curva IMC 4 pulgadas cotizacion sin descuento
COT-S25273-2026-05-19-ABRAZADERA-UNISTRUT,cotizacion,ABRAZADERA UNISTRUT DE 1 1/2 E2105 ABRUNI11/2,UND,30.00,DOP,JJ Electric S.A. Cotización S25273 (3),2026-05-19,abrazadera unistrut 1 1/2 cotizacion sin descuento
COT-S25273-2026-05-19-CHANNEL-UNISTRUT,cotizacion,CHANNEL UNISTRUT DE 1 1/2 X 10 CHAN11/2X10,UND,628.30,DOP,JJ Electric S.A. Cotización S25273 (3),2026-05-19,channel unistrut 1 1/2 x 10 cotizacion sin descuento
